label,family,device,precision,task,benchmark_class,n_sizes,n_front,eps_min,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
qwen1.5 | 1xA10 | float16 | ARC-Challenge,qwen/qwen1.5,1xA10,float16,ARC-Challenge,retired,6,6,0.48687,0.342261,0.3933,0.1966,0.1083,0.3478,0.0606,0.9953,0.629,3.347,-3.91,identified
distilgpt2 | 1xA10 | float32 | MuSR,distilbert/distilgpt2,1xA10,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | bfloat16 | BBH,distilbert/distilgpt2,1xT4,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | bfloat16 | GPQA,distilbert/distilgpt2,1xT4,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | bfloat16 | IFEval,distilbert/distilgpt2,1xT4,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | bfloat16 | MATH Lvl 5,distilbert/distilgpt2,1xT4,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | bfloat16 | MMLU-PRO,distilbert/distilgpt2,1xT4,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | bfloat16 | MuSR,distilbert/distilgpt2,1xT4,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float16 | BBH,distilbert/distilgpt2,1xT4,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float16 | GPQA,distilbert/distilgpt2,1xT4,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float16 | IFEval,distilbert/distilgpt2,1xT4,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float16 | MATH Lvl 5,distilbert/distilgpt2,1xT4,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float16 | MMLU-PRO,distilbert/distilgpt2,1xT4,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float16 | MuSR,distilbert/distilgpt2,1xT4,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float32 | BBH,distilbert/distilgpt2,1xT4,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float32 | GPQA,distilbert/distilgpt2,1xT4,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float32 | IFEval,distilbert/distilgpt2,1xT4,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float32 | MATH Lvl 5,distilbert/distilgpt2,1xT4,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float32 | MMLU-PRO,distilbert/distilgpt2,1xT4,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 1xT4 | float32 | MuSR,distilbert/distilgpt2,1xT4,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
distilgpt2 | 32vCPU-C7i | bfloat16 | BBH,distilbert/distilgpt2,32vCPU-C7i,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
